potential(mV),background label,stimulation noise label,evoked potential label,dataset number,channel number,epoch number,stimulus number
-0.00305804404889765,0,1,0,1,1,14,1
0.0152019020586991,0,1,0,1,1,14,1
0.0206305346895213,0,1,0,1,1,14,1
0.0245786311495486,0,1,0,1,1,14,1
0.0137213658869983,0,1,0,1,1,14,1
0.00434463680291808,0,1,0,1,1,14,1
-0.0124347731228593,0,1,0,1,1,14,1
-0.0232920383595663,0,1,0,1,1,14,1
-0.0168763816296602,0,1,0,1,1,14,1
-0.0153958454608625,0,1,0,1,1,14,1
0.00779922120164533,0,1,0,1,1,14,1
0.00730570914463691,0,1,0,1,1,14,1
0.0221110708619072,0,1,0,1,1,14,1
0.0122408297154433,0,1,0,1,1,14,1
0.00138356446176857,0,1,0,1,1,14,1
-0.0144088213482552,0,1,0,1,1,14,1
-0.0173698936858964,0,1,0,1,1,14,1
-0.0153958454608625,0,1,0,1,1,14,1
-0.0119412610664726,0,1,0,1,1,14,1
0.000396540348178043,0,1,0,1,1,14,1
0.00829273325867064,0,1,0,1,1,14,1
0.00927975737276743,0,1,0,1,1,14,1
0.0102667814869286,0,1,0,1,1,14,1
-0.0425390085345034,0,1,0,1,1,15,2
-0.0351363277005703,0,1,0,1,1,15,2
-0.0129282851792309,0,1,0,1,1,15,2
0.0482672099323418,0,1,0,1,1,15,2
0.0744233490519237,0,1,0,1,1,15,2
0.0808390058249335,0,1,0,1,1,15,2
0.0724493008147062,0,1,0,1,1,15,2
0.0152019020586991,0,1,0,1,1,15,2
0.00730570914463691,0,1,0,1,1,15,2
-0.0326687674218817,0,1,0,1,1,15,2
-0.0144088213482552,0,1,0,1,1,15,2
0.00335761268913881,0,1,0,1,1,15,2
0.030994287899361,0,1,0,1,1,15,2
0.0398775049422673,0,1,0,1,1,15,2
0.05270881845854,0,1,0,1,1,15,2
0.0413580411166228,0,1,0,1,1,15,2
0.0230980949769144,0,1,0,1,1,15,2
-0.00453858021883979,0,1,0,1,1,15,2
-0.0247725745276508,0,1,0,1,1,15,2
-0.0415519844234953,0,1,0,1,1,15,2
-0.0183569177983234,0,1,0,1,1,15,2
0.00138356446176857,0,1,0,1,1,15,2
0.0127343417726116,0,1,0,1,1,15,2
0.0379034567100334,0,1,0,1,1,15,2
0.0457996496406228,0,1,0,1,1,15,2
0.026059167322332,0,1,0,1,1,15,2
0.00434463680291808,0,1,0,1,1,15,2
-0.0163828695734094,0,1,0,1,1,15,2
-0.0099672128407744,0,1,0,1,1,15,2
-0.0168763816296602,0,1,0,1,1,15,2
-0.00108399582209096,0,1,0,1,1,15,2
0.026059167322332,0,1,0,1,1,15,2
0.0161889261732471,0,1,0,1,1,15,2
